"theme_l1";"theme_l2";"theme_l3";"concept_text_long";"item_name";"variable_label";"source";"measure_wave";"suf_index";"data_collection_a";"mode_a";"item_id";"item_version";"concept_id";"concept_version";"sort_id"
Socio-demographic characteristics;Demographic characteristics & housing situation;Age & gender;Birthdate [month];birthdat_m;When were you born? [month];TREE;"0, 1, 2";Wave-specific;Base (BQ);CATI;1302;1318;1715;1716;"10101030                      "
Socio-demographic characteristics;Demographic characteristics & housing situation;Age & gender;Birthdate [year];birthdat_y;When were you born? [year];TREE;"0, 1, 2";Wave-specific;Base (BQ);CATI;1303;1319;1714;1715;"10101040                      "
Socio-demographic characteristics;Demographic characteristics & housing situation;Age & gender;Gender                                                                          ;sex;Are you female or male?;TREE;"0, 1, 2";Wave-specific;Base (BQ);CATI;639;1839;192;152;"10101050                      "
Socio-demographic characteristics;Demographic characteristics & housing situation;Civil status;Civil status;civil;What is your civil status?;TREE;"2";Wave-specific;Base (BQ);CATI;1696;1712;1697;1698;"10102080                      "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Canton;aes_canton;Canton;Verner and Helbling (2019);"0";Wave-specific, Weights;AES sampling frame;"";3;85;130;79;"101030131                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Language region;aes_langreg;Language region;Verner and Helbling (2019);"0";Wave-specific, Weights;AES sampling frame;"";1;49;203;155;"101030132                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Mother relation;mother;When you say mother, who do you mean? (Mother relation);"NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI;233;533;61;93;"101030133                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Father relation;father;When you say father, who do you mean? (Father relation);"NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI;18;542;208;68;"101030134                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Number of siblings: older;nsibolder;Number of siblings: older;"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;94;116;89;115;"101030135                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Number of siblings: younger;nsibyounger;Number of siblings: younger;"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;450;395;1130;1131;"101030136                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Number of siblings: equal;nsibequal;Number of siblings: equal;"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;451;460;1131;1132;"101030137                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Family household structure;famstruc;Family household structure;"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;731;23;92;117;"101030138                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb1;Mother (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;259;132;186;194;"101030140                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb2;Step/foster mother, or father's girlfriend (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;231;479;186;194;"101030150                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb3;Father (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;100;446;186;194;"101030160                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb4;Step/foster father, or mothers's boyfriend (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;416;303;186;194;"101030170                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb5;Brothers (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;417;118;186;194;"101030180                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb6;Sisters (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;418;304;186;194;"101030190                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb7;Other family members (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;232;480;186;194;"101030200                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Household members;hhmemb8;Others (Household members);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;419;26;186;194;"101030210                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: number of people living with;hh1membonb;How many people do you live with at your main residence?;TREE;"1, 2";Wave-specific;Base (BQ);CATI;1446;1859;1614;1615;"101030270                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb1;Mother (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1591;1607;1613;1614;"101030280                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb2;Stepmother/foster mother/father's partner (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1587;1603;1613;1614;"101030290                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb3;Father (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1588;1604;1613;1614;"101030300                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb4;Stepfather/foster father/mother's partner (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1584;1600;1613;1614;"101030310                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb5;Siblings or step-siblings (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1592;1608;1613;1614;"101030320                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb6;Boyfriend/girlfriend/husband/wife (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1583;1599;1613;1614;"101030330                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb7;Your own children: daughter or son (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1586;1926;1613;1614;"101030340                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb8;Other members of family/relatives (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1590;1606;1613;1614;"101030350                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb9;Friends/colleagues (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1589;1605;1613;1614;"101030360                     "
